Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
加入购物车,1000,127,56,2720,190.59,0.000%,4.74827,2.05,1.34,442.0
查看购物车,1000,76,53,664,66.76,0.000%,4.74996,2.02,0.81,436.0
搜索商品,1000,5724,326,10667,1275.56,0.000%,4.68320,181.69,0.97,39726.4
注册新用户,1000,4967,165,9205,1049.59,0.000%,4.64796,123.78,2.00,27271.0
查看特价商品,1000,4929,201,9623,1041.15,0.000%,4.63833,132.46,0.95,29244.0
查看品牌列表,1000,4660,195,8424,1077.58,0.000%,4.63886,107.98,0.97,23837.0
TOTAL,6000,3414,53,10667,2535.02,0.000%,27.71529,545.63,6.95,20159.4
